numPoints,runningTime
10000,0.002192
20000,0.0009754
30000,0.0008846
40000,0.0011062
50000,0.001312
60000,0.0012988
70000,0.0011476
80000,0.0011718
90000,0.0011975
100000,0.001624
110000,0.0018554
120000,0.0015644
130000,0.0022777
140000,0.0022205
150000,0.0016297
160000,0.0019326
170000,0.0013309
180000,0.0027656
190000,0.0023338
200000,0.0024689
210000,0.0027155
220000,0.0028812
230000,0.00232
240000,0.0032468
250000,0.0034224
260000,0.0032318
270000,0.001898
280000,0.0033339
290000,0.0025144
300000,0.0024197
310000,0.0026982
320000,0.0026922
330000,0.0034652
340000,0.0028197
350000,0.0027849
360000,0.0029262
370000,0.0030208
380000,0.002854
390000,0.0029256
400000,0.0033541
410000,0.0028665
420000,0.0027698
430000,0.0030649
440000,0.0029794
450000,0.0033689
460000,0.0030419
470000,0.0032566
480000,0.0032239
490000,0.0030259
500000,0.0034708
510000,0.0034572
520000,0.0032993
530000,0.0034835
540000,0.0033706
550000,0.0038603
560000,0.0034365
570000,0.0034814
580000,0.0035617
590000,0.0038611
600000,0.0043614
610000,0.0037862
620000,0.0041976
630000,0.0049754
640000,0.0038789
650000,0.0039173
660000,0.0043375
670000,0.0040469
680000,0.004116
690000,0.0042668
700000,0.0042977
710000,0.0042626
720000,0.0043716
730000,0.0044415
740000,0.0045082
750000,0.0045213
760000,0.0045436
770000,0.0048161
780000,0.0048402
790000,0.0047317
800000,0.0059508
810000,0.0056817
820000,0.0049078
830000,0.0049998
840000,0.005741
850000,0.0052946
860000,0.0051603
870000,0.0052548
880000,0.0053269
890000,0.0054499
900000,0.005477
910000,0.0054734
920000,0.0055651
930000,0.0055326
940000,0.0056062
950000,0.0056765
960000,0.0057276
970000,0.0057908
980000,0.0058773
990000,0.0059062
1000000,0.0059665
